Active User,Passive User,yes_vote
15914,58217,0
11211,17529,0
53732,56230,0
46851,23393,1
272,46451,0
58287,39780,1
41905,53749,0
51106,53748,0
20377,47021,1
7985,31520,0
51529,55092,0
47386,52015,1
27025,21967,1
24673,9082,0
1298,20434,1
1040,46520,1
59426,31270,0
19167,27647,1
43564,13349,1
27440,46271,0
47699,44597,1
59591,20429,0
12785,58665,0
32125,40976,0
26530,44573,0
9790,2741,0
50289,40677,0
42357,8839,0
27746,53629,0
16598,6072,1
29013,38992,1
41695,16417,1
28684,6763,1
48392,19584,1
4215,17450,0
1074,11073,0
35236,19123,1
33863,3091,0
37391,52450,1
54841,41191,0
28497,17293,1
27834,48476,1
13069,10708,1
42307,52900,0
54123,15109,0
54268,16707,1
8484,12908,0
4516,29773,1
55746,37510,0
48515,50680,1
43781,45096,1
27845,49909,0
47317,25095,0
5788,26953,1
28923,6568,1
47677,29090,0
7495,38031,0
10877,48118,0
156,12308,0
38958,41499,0
42348,8834,0
38650,45231,1
7143,10217,1
3866,50248,1
12181,6727,0
9187,43176,0
59219,2722,1
640,5518,0
22453,14460,0
13281,14049,1
56376,15816,1
37828,3014,0
45421,35789,0
41280,32553,1
23913,9696,0
28796,31365,1
29505,30705,1
40638,30359,0
16771,927,0
27556,41327,0
18117,38689,0
37873,50656,1
1747,47551,0
47007,15128,1
23983,5305,1
416,24180,1
48005,7948,0
14425,25447,0
26728,16553,1
48881,30388,0
56575,16463,1
43911,31955,0
10856,56468,0
8852,40966,0
57741,11346,0
27630,16442,1
23948,15566,0
25249,6174,0
50809,48510,1
55320,8929,0
20524,55204,0
30635,27233,0
8446,42415,1
3989,28471,1
51346,28108,0
27516,34344,0
1789,31321,1
43079,4139,1
26370,54216,0
27611,54695,1
19384,8758,1
5448,12756,0
5487,26300,0
21782,21659,1
32529,31244,1
29513,35875,1
45577,18629,0
55037,21929,1
52847,48887,0
27102,50901,0
39204,27425,1
9096,14219,1
3007,49476,0
37378,26012,1
18504,7526,1
40636,25215,0
59501,35789,0
45348,43094,1
43802,57078,0
24128,9155,0
22009,11915,0
48571,2378,0
20909,31937,0
35980,6499,1
41968,24413,1
47313,54388,0
39514,58686,0
15349,2865,1
53536,10466,0
23362,10173,1
47688,46261,0
30752,57748,0
26001,49307,1
25285,42337,1
775,25157,1
58910,47997,1
28629,13612,1
13797,33228,0
20887,39811,1
31126,52091,0
25814,37187,0
8935,50082,0
44359,41100,0
27091,2896,0
50584,7000,1
40234,49323,0
27940,30009,1
57476,22124,0
5805,32694,1
34670,44117,0
46621,43190,1
23430,28218,1
23566,56028,0
51124,46435,1
16843,8781,1
30425,24298,1
12122,50002,0
11113,41361,1
12475,43483,0
29735,21336,0
15146,2040,0
27183,43785,0
59269,44180,0
21055,5953,0
20829,3920,0
14673,26093,0
3902,44865,1
6591,10391,0
37944,25756,0
27927,45028,0
44447,39178,1
27276,27376,0
37602,33032,0
29575,49841,0
56268,23890,0
17815,35690,1
8290,8526,0
14118,1315,0
7620,4520,0
22450,36509,0
6784,1389,1
36570,14869,0
1397,21438,0
58651,7522,0
4902,14282,0
21736,36694,0
9695,13489,0
24138,44937,0
20644,2122,1
3803,21315,0
4793,2520,1
4105,55492,0
24193,8567,0
1594,57262,0
19920,8841,0
37163,53051,1
15859,37745,0
43402,24051,1
59885,28993,0
44516,7008,0
47068,34646,0
48977,43982,0
59276,5578,0
6843,4730,0
12401,50505,0
47554,41601,1
41274,41083,0
34,41459,0
45170,9818,1
52673,2713,1
44703,34775,1
33431,49684,0
44673,28283,1
48260,17588,0
18785,249,0
19348,42970,1
57698,26968,1
47394,13396,0
36419,48295,0
10194,48114,0
53825,27809,0
39454,40165,0
31347,8640,1
30577,5998,0
45403,16975,0
45607,53221,0
53477,42726,0
10484,10687,1
1070,28924,1
34320,53389,0
58644,59687,0
5178,28100,1
52209,1998,0
14556,29445,1
36353,2118,1
17701,39981,0
27846,30127,1
26832,24471,0
7225,24120,0
38314,50613,1
17319,8461,1
45554,8516,0
31196,821,0
44921,47736,1
33805,26657,0
20513,57195,0
31996,16069,1
52711,2197,0
36177,6343,0
17466,57579,0
4569,54231,0
16623,30062,1
38983,10416,0
10799,9403,1
10827,37024,0
9534,34693,1
36381,50917,0
43377,718,1
51836,20208,0
48723,47783,0
1889,48255,1
46163,22346,0
58732,15028,1
30534,17531,1
29219,9077,0
48928,59371,0
22205,12006,1
4768,13817,1
24567,41772,1
36703,26868,1
31661,54797,0
21673,13529,1
51911,48478,0
39759,54427,0
33422,20306,0
34147,19755,0
43592,46734,1
56458,22722,0
16100,33809,0
42844,50076,1
6210,13769,0
21217,51134,0
58021,18936,0
5725,37346,0
56523,41508,0
24831,11282,0
39931,42745,1
34397,30629,0
26877,14194,0
2036,31553,0
26600,34723,0
24536,55141,0
45666,40617,1
47591,43728,1
32895,9577,0
40768,56326,1
24091,4109,0
43061,39665,0
6655,50814,0
16540,28845,1
45728,19953,1
41193,34416,0
4002,54694,1
55097,19553,1
31235,23304,0
21152,27860,0
12781,35303,1
8124,47821,0
19422,44519,1
52419,32863,0
31776,14993,0
32375,27298,1
42291,33454,0
15222,34910,1
1011,1800,0
32749,28716,0
53965,52182,0
13291,5524,0
50542,26646,1
55495,53669,0
23039,51329,1
1331,36135,0
10211,22202,0
48757,16726,0
42025,49916,1
34483,17587,0
37089,41536,0
22485,49905,0
29605,46187,1
39093,20070,0
29256,53251,1
16019,56773,0
13153,53854,1
43767,7627,0
23315,54879,0
53949,313,1
41023,11677,0
49760,48811,0
49877,48327,0
51498,17915,1
8433,22239,0
23942,58057,1
57648,34489,0
15019,30407,1
59558,52719,0
56722,20553,1
34854,13844,0
37827,46975,0
28495,45370,0
35807,49489,1
24001,14469,1
17538,48062,0
35085,39699,1
41936,40876,0
59619,46058,1
40191,8774,0
56811,41111,0
29473,26918,0
20428,36022,0
44241,25079,1
45035,11028,0
35248,1691,1
43438,28217,1
47222,5729,0
45078,48868,1
22625,53879,0
48544,44296,1
19687,16063,1
394,30776,0
16675,5215,1
37790,24963,1
16343,37120,1
54817,42426,0
59244,19924,1
9412,18238,0
43351,32486,0
18730,21456,0
25789,4517,0
18161,58598,0
34470,20148,0
55936,53670,0
22537,42521,0
8150,34639,0
50356,19258,1
44589,18290,0
18115,58144,0
38801,28043,0
43000,54432,0
31645,14984,0
22587,52710,1
52079,38025,1
30422,39209,0
55729,48590,0
34812,23591,1
31999,17832,0
19795,2023,0
41488,11534,1
47354,350,0
25441,40573,1
53226,3740,1
57082,25710,0
53367,28078,1
53113,29586,0
59917,22570,1
21076,21302,1
15589,47222,1
31639,45516,0
21111,36597,0
28146,49953,1
38071,11958,1
39067,54419,0
51490,39069,0
38900,4880,1
58399,26148,0
3550,33069,1
1800,2735,0
16782,51049,0
38302,28498,1
36161,53947,0
42984,37748,1
26778,31927,0
53195,55227,0
24290,34358,1
33266,14594,0
54280,12294,0
53175,34515,0
2115,5375,0
27878,16989,0
14086,629,1
4244,57517,1
48007,38903,0
35204,15102,1
30254,12334,0
26178,20606,0
33587,6781,0
20264,17556,0
50234,18190,0
26438,37714,1
13969,13374,0
12941,6905,0
23760,17075,1
34896,51566,0
17765,33025,1
6760,24883,1
58479,29187,0
6182,17280,1
16231,17,1
15225,52176,0
23867,52039,1
20852,43564,0
13119,12789,1
22124,32682,1
57500,44764,0
2159,59766,0
10045,26459,1
9163,25690,1
45057,36476,0
45819,57833,1
25776,7935,0
11242,58310,1
28618,10727,0
38019,25522,1
15682,38508,1
15436,33377,1
13526,33469,1
30045,53226,1
41379,39702,0
41016,48967,1
32325,31272,1
26524,58728,1
15534,22352,1
50237,21889,1
19516,56918,0
45313,17712,0
8974,56718,0
54020,14424,0
28802,37983,0
5740,41512,1
20426,40455,1
45662,22619,1
11269,50382,0
27197,935,0
47458,58589,0
33583,43770,0
57565,28774,0
41534,11976,0
9622,25501,1
8253,36096,1
22855,38306,1
34543,57588,1
26806,40736,0
35042,38973,1
26253,51681,0
5972,11722,1
3601,36657,0
11602,38325,0
42712,7297,0
24133,24908,1
16861,21300,0
37878,46412,1
56562,27727,1
48757,11751,1
9332,33858,1
8783,56029,0
33582,38757,0
59405,25894,0
45701,30744,0
22025,13808,0
18354,45893,1
10194,3282,0
39880,18403,1
24859,1668,0
21287,15280,1
7927,39010,1
18558,8697,0
18407,41832,1
38282,58206,1
36555,21428,0
13772,48560,1
35503,13851,0
17558,21818,1
8218,59078,1
20387,48386,0
32307,52410,1
31197,5781,0
19770,10358,0
23432,9683,1
30443,15916,0
6955,59665,0
16908,26517,0
45369,39263,0
2393,36001,0
8064,55740,1
47313,36439,0
52178,21623,0
42755,43782,1
2036,59137,0
33152,33751,0
30979,56020,0
44124,27110,0
19512,32148,0
11668,46202,1
13722,7624,0
37582,23668,0
27294,21091,1
36589,42207,0
49226,40796,0
12980,1164,0
58410,9354,0
9404,47222,1
37969,39609,0
51944,54884,1
7446,34837,1
24604,12044,1
21627,2708,0
5204,21776,1
48463,55361,1
40929,39318,1
8136,274,0
48627,50991,1
42643,23309,0
12127,6026,0
14272,39950,0
27191,19195,1
50478,51639,1
50667,636,1
59234,56967,1
14770,44856,0
4265,48332,0
50504,6546,1
4928,4008,0
28012,10778,0
52317,7940,0
40303,31026,1
1854,16398,1
37441,40245,1
32723,41103,1
48062,57451,0
57326,6136,0
13124,55046,0
58923,59668,1
3914,53761,0
44867,45747,1
25241,33416,1
26587,45616,0
30364,19029,0
34448,29824,0
40429,5446,0
47192,43388,0
23297,35689,1
14597,21256,0
38662,28157,0
21615,52253,0
5777,25382,0
18185,22352,0
1680,46015,0
47165,34330,0
48585,38320,1
22956,52897,0
45145,25622,0
58748,59726,1
4890,32706,0
6231,49957,1
26510,46740,1
51849,19100,0
10521,24572,1
24179,3929,0
25203,16444,0
19885,15843,0
6929,11099,1
49901,14668,0
5067,40610,0
41286,4265,0
17356,56690,0
52709,48436,1
26430,23885,1
8430,30816,1
15946,32211,1
24014,27820,0
44586,47810,1
14187,35873,0
39645,17508,1
8999,36603,1
33885,32994,0
15629,51320,0
11339,9552,1
48689,15669,0
56439,42666,0
5927,18402,0
3241,16321,1
32359,12209,0
30601,22394,1
52938,22543,0
52219,24477,1
39470,56649,0
46972,44089,1
5794,23738,1
27290,35381,0
49754,29246,0
24982,13479,0
47187,44217,1
25791,32998,1
42162,32119,1
43377,19398,0
58179,47789,1
46178,37207,0
8318,59273,0
41822,18755,0
43556,18448,0
21838,33065,1
22667,36414,0
3619,34526,0
13191,36416,1
20981,46537,0
21747,34615,0
13174,44219,0
23530,49150,0
38520,1903,0
9891,20334,0
3955,12732,0
18970,34395,1
55486,31833,1
59105,4639,1
59768,58445,0
15567,58869,1
20687,45174,0
58271,54757,0
44295,5958,1
11318,33855,0
24940,36380,0
17664,17082,0
17300,677,1
5328,45486,0
25760,19980,1
55461,36783,0
1958,12896,1
30435,25613,0
28823,27862,0
24714,19684,0
53307,26878,0
11963,8187,0
28507,16678,1
10643,4707,1
54432,29340,0
50244,53389,1
53286,40543,0
20350,119,0
29226,4371,0
49165,25996,1
22272,3190,1
5869,25925,1
14762,57106,1
18521,42145,1
13621,3552,1
17511,51065,1
14109,17606,0
20149,20254,0
39911,38065,1
39703,41556,0
10421,48980,0
53744,24219,0
15235,40696,0
29624,37937,0
35236,38126,1
50925,5445,0
35639,22872,0
5850,21415,1
49268,23284,1
57492,36836,0
25297,36342,0
8420,47396,0
2253,21170,0
44570,10903,0
7079,18755,0
44629,7603,0
20050,38654,0
13321,4389,0
58250,53569,1
56952,27493,0
39159,39761,1
49142,53384,0
53608,28542,0
8956,34325,1
11779,6415,0
38760,52788,0
39403,25238,0
21814,14071,0
9815,39308,0
28684,35355,1
42492,16103,0
49972,4702,0
17769,2582,1
55227,33777,0
6297,1590,0
25042,45992,0
49536,33207,0
38499,41879,1
43150,29424,1
47807,16201,0
8629,11292,0
27931,15490,1
18432,18840,0
23812,38224,1
28479,15255,0
9475,24014,0
40026,13802,1
57810,9435,0
51639,48774,0
30280,15110,1
41941,7208,0
22743,19207,1
39670,26053,1
15265,52724,1
57473,17501,1
42715,14237,1
53958,21765,0
20815,52474,1
35954,48952,1
22485,44021,0
22787,24903,1
43304,3159,0
22334,3577,1
56583,27177,0
25857,58728,0
35722,15585,1
40104,12943,1
40392,58077,0
14367,17165,1
11717,22727,0
56221,4688,0
17826,55887,0
41610,10861,1
50746,8941,1
49358,52859,1
53443,43371,0
48795,36189,0
10404,46025,1
3522,53723,0
874,51227,0
21328,9459,1
32251,37515,1
36042,21626,0
53372,47902,1
39448,25589,0
20371,5909,1
16214,1031,0
44354,16640,0
55915,1179,0
5525,52065,1
36992,38911,0
6619,9682,1
25870,9120,0
19730,58413,1
3600,13197,0
57261,49441,0
32973,35441,0
4179,24149,0
11616,33501,0
21731,38785,0
761,57491,1
1561,44065,0
49799,5872,1
16408,20891,1
7099,44256,0
29510,58630,0
29055,53233,1
33532,49277,1
30735,1635,0
33137,31402,1
88,15958,0
58261,3166,1
55528,9430,0
25501,5698,1
9822,23393,1
54318,18960,0
6405,5915,0
41855,19332,0
29549,635,0
53621,454,0
57302,9505,1
5902,19511,0
51670,53093,1
40092,54794,0
2,41572,0
29978,27113,1
5613,18098,0
6197,47712,0
53868,25423,0
56423,57021,1
54173,33581,1
49035,38483,0
8396,30648,0
22723,34972,1
10945,59934,0
1718,31076,1
33509,6286,1
46982,36096,1
57228,51415,1
15515,5934,0
33959,7223,1
12898,4521,0
10610,55867,0
49215,14492,1
55444,41204,0
22837,8389,0
6069,57365,0
6340,8868,1
13286,11854,1
57078,51949,1
18033,19355,1
55453,19105,0
20636,30867,0
1433,38012,0
44107,20433,0
11997,46596,1
42717,46946,0
26871,8926,1
9480,36857,1
3047,24956,1
7365,18999,0
30817,16295,1
58053,51709,0
48087,44816,0
25802,45188,0
49793,2015,1
20919,46295,0
46354,53159,1
15842,32130,0
57770,21924,0
35476,37988,1
56697,31354,0
18490,55192,0
7809,10965,1
35836,57929,1
18825,17806,1
13089,19446,1
31808,52751,1
41068,36773,1
40298,32131,0
3341,49002,1
49670,42754,1
54783,49850,0
56132,26401,1
58836,37825,0
55790,19123,0
29602,12870,1
5263,44024,0
18449,45854,1
15875,23200,0
24767,25494,0
11857,48425,0
27081,7197,0
16682,34532,0
37912,17965,0
10747,53409,1
28695,49466,1
53101,33199,1
36672,41915,1
16686,46341,0
59304,37637,0
55350,40354,0
50043,24739,1
22507,44299,0
44246,16806,1
26256,9429,0
33705,43891,0
35229,25997,0
37608,20636,1
3882,30499,1
51030,19067,1
56648,58198,0
38373,16768,1
42862,59805,0
14059,55398,1
54005,38927,0
10246,6813,0
5657,37912,0
59264,17864,0
4354,26786,0
15809,19015,0
9607,3138,0
53940,2922,1
17279,14488,1
20499,19566,1
3204,21980,0
49317,50077,1
30554,31568,0
47948,24908,0
55670,36841,0
4868,3171,0
9472,19622,1
35719,3884,0
32353,8049,1
53937,28335,1
17332,46121,1
7353,30852,0
46545,35855,1
49800,58507,0
46633,40036,0
50884,32428,0
3334,13699,1
9176,54094,1
30955,36591,1
9151,47914,0
26724,41922,1
36711,24638,0
7813,28800,1
18029,33858,1
52405,11906,0
26170,59841,0
18844,612,0
32708,38773,1
12563,44197,1
19009,19964,0
30746,52108,1
53740,12920,1
31253,16762,1
28259,32588,0
40290,45492,0
24830,17640,0
34097,10819,1
55629,34448,1
2322,7140,1
57770,34891,1
35814,30246,1
46883,35548,0
2084,33387,0
48319,5857,1
52956,47820,0
34839,3002,0
20286,17530,0
22017,4843,0
53443,23947,0
21108,57308,0
5326,48963,1
35178,24265,0
16105,48102,0
28818,50626,0
16539,32511,1
52530,23915,0
49321,17343,0
48790,17448,1
32627,5586,1
58071,28062,1
16921,6247,1
6881,14064,1
58289,36752,1
58040,5189,0
188,41648,0
33869,53771,1
54471,2471,0
35859,36160,1
49506,57888,0
32867,45249,0
57785,6511,0
402,34405,0
25294,34053,0
2738,32036,0
27965,32088,1
3506,47270,1
59746,6626,0
49446,32958,0
12506,37105,0
7531,30856,0
42580,30077,1
23434,59796,1
29342,29102,1
42196,36781,1
10826,48489,0
47412,50303,0
44086,4318,0
2743,36196,0
28268,42785,1
46981,13803,0
50622,51931,0
59564,41190,0
29536,3160,1
50247,49044,0
45065,14028,0
57674,1139,0
50015,3976,0
19655,43687,0
8319,55750,1
55429,47098,0
22216,32889,0
49227,1960,0
44808,46564,1
52444,55895,1
59082,31440,0
34353,15890,0
4300,3106,0
35664,15076,0
37675,28154,1
4906,4930,0
55200,23421,0
12980,12827,0
20563,5279,1
9582,38149,0
13012,18448,1
3091,37706,0
18518,9788,1
7830,3852,1
5188,54989,0
52593,24839,0
57044,32075,1
27938,43450,1
12033,30892,0
10232,42286,0
34575,44749,0
52632,45876,0
26224,39551,1
42216,11274,1
59591,12552,1
13754,55914,0
39604,39356,0
51180,40483,0
1516,20142,0
9937,39311,0
6822,14508,0
5165,27485,1
26401,28053,0
15213,5303,0
9553,13526,0
28858,48264,1
56307,25950,0
57649,35595,1
32076,51754,1
11420,8734,1
59137,48601,1
8216,52893,1
40201,59519,1
52971,24451,0
32624,8766,0
41099,19868,1
41205,1207,0
25912,20265,1
8456,49563,0
41771,2912,1
8471,9368,1
34635,50660,1
34880,591,0
52127,25221,0
24812,21267,0
24017,2912,0
8533,25872,1
11776,4778,1
22051,54189,0
49314,36495,1
31494,50488,0
52202,46531,0
39058,28901,1
29575,32214,0
29931,32270,0
55738,58147,0
38158,10311,1
16130,40322,1
49388,57320,1
36613,48073,0
7162,32397,0
3740,21771,1
50857,3305,0
58501,37242,1
34192,2274,0
34345,29672,0
47789,59795,0
44600,39893,1
43147,51448,1
55474,51421,1
38664,48829,0
57904,7714,0
35152,10982,1
48603,8184,0
25576,47994,0
10210,7468,1
49769,7313,1
31468,59424,1
46492,1644,0
26214,18341,1
2679,9287,0
50441,5790,0
2563,29505,1
21862,31128,0
27246,30520,1
33494,48090,1
27432,48007,0
59475,57223,0
3446,50292,0
22177,57109,1
379,33609,1
11098,28188,0
30741,55751,0
36148,964,0
56788,13890,1
4216,21889,0
59250,29209,0
13605,56877,0
33232,35315,0
34790,28340,1
7402,4248,1
5871,55128,0
18563,49010,0
47015,22372,1
36511,23890,0
26078,8552,1
36536,31319,0
55953,35851,0
56592,30030,0
31415,53873,1
28100,2565,1
21221,58886,0
55773,50539,0
33777,38311,0
50173,57502,0
19637,17923,1
26667,44294,0
14200,37152,1
41742,47207,0
30994,13141,1
43385,19736,1
28910,7315,0
10943,3625,0
33534,4830,0
28494,5541,0
51832,23714,0
10443,32712,0
38956,20188,1
21093,46685,0
12634,43682,0
3767,54089,1
39005,16737,1
45026,51145,0
18506,2616,0
38958,14930,0
45037,8590,1
32560,45374,0
19695,24081,0
48600,9047,0
11767,9914,0
7118,4614,0
5867,9383,0
41759,43497,0
12999,56965,1
17257,21403,1
52954,2415,0
37293,9619,1
23333,50663,0
50404,31971,0
44117,9867,1
43196,1525,0
33150,21731,0
54821,29251,0
35477,58122,1
14333,25569,0
16369,37535,1
39861,26892,0
20260,7057,0
24638,3162,0
27883,50696,1
18550,59186,1
53708,47032,1
33381,40328,0
44657,49574,0
57629,46231,0
25270,17060,0
4875,12790,1
46550,54052,1
12094,42854,0
27028,34383,0
48997,14605,0
30885,32183,0
27316,30658,0
14085,12882,0
40000,19836,0
16955,41085,0
20643,26574,0
29275,13137,1
16255,1532,1
160,34199,0
16534,25217,0
36019,30810,0
35462,19446,1
5456,1150,1
52754,47331,1
36138,29556,0
14684,41040,1
48509,12690,0
26790,55827,0
11509,28118,1
46119,36701,1
33045,43293,0
18747,14958,1
16742,29203,1
3020,9566,1
23540,5346,1
8887,53491,1
32279,20239,1
56021,56017,1
21013,55268,0
53917,31669,1
20756,15830,1
59553,24469,1
26519,50450,0
7850,2380,0
50554,5744,0
30581,52319,0
18111,29720,0
30507,40599,0
15370,10947,0
36646,42725,0
12505,44657,0
618,1857,0
23509,13444,0
49825,8468,0
7451,19108,0
35979,44510,1
53778,58470,0
3238,3601,1
28227,22328,0
10762,58625,1
945,33453,0
55405,24828,0
56054,54572,1
32824,19375,0
27908,10194,1
21979,41930,0
22335,56962,0
45793,8167,0
59302,59740,0
37324,56968,0
39833,44407,0
53232,59598,1
21968,8783,1
26130,29525,1
33052,4516,0
55099,59341,0
40475,57334,0
33349,13398,0
38776,49298,1
24425,679,1
34227,27756,0
23692,4202,1
28359,42613,1
28165,38309,1
17727,7013,0
49567,12121,1
57277,16461,0
34608,217,1
1402,37620,0
16283,31421,0
4899,53338,1
42556,4445,1
12395,4849,0
23990,17877,0
59232,26431,0
48204,47196,1
58530,54260,0
29465,47598,0
41492,33019,0
40495,41085,0
4445,18102,0
47372,8344,0
46440,18952,0
17247,52692,1
11158,36580,1
22677,29517,0
5261,46366,0
28799,41022,0
9008,37021,0
986,40977,1
8625,21981,1
7419,24201,0
42834,6251,0
44408,32596,0
20381,30583,1
757,51459,0
51998,437,0
39040,40696,0
51155,59156,1
13273,27767,0
38775,14282,0
13527,14064,0
16018,54752,1
32722,38029,0
8131,33802,0
29992,32957,0
42671,45995,1
1577,2592,1
34898,36182,0
40507,15065,0
50091,13846,0
23291,57010,1
47765,8890,0
47960,31317,0
46634,56246,0
29764,3118,1
14559,29413,0
25863,16742,0
56024,36214,0
5362,3461,1
19113,14869,0
57383,30512,0
16474,15226,1
2348,42455,0
49252,57613,0
24653,16131,0
30871,30546,0
10524,40262,0
22450,39340,0
52987,41194,0
56789,5815,0
18766,59665,0
30719,10434,0
10342,34782,0
41253,5064,0
58621,11925,0
37493,5434,0
27040,37509,1
36154,10333,0
4078,27734,0
43268,5926,0
57958,43966,0
44295,58867,1
20282,43047,0
43278,26116,1
17724,7254,0
17142,26846,0
7243,43725,0
27185,56060,0
14268,26268,0
40173,49100,1
22669,39300,1
57504,18114,0
49945,5365,0
24933,24017,1
2792,24595,1
34810,9497,1
6178,55880,1
11091,17473,0
29807,24512,0
19263,41730,1
38711,8788,0
39616,36707,1
21544,9854,0
16885,13379,0
